USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0    2300532  10984 0                   0 S init
root             2     0          0      0 0                   0 S [kthreadd]
root             3     2          0      0 0                   0 I [rcu_gp]
root             4     2          0      0 0                   0 I [slub_flushwq]
root             5     2          0      0 0                   0 I [netns]
root             6     2          0      0 0                   0 I [kworker/0:0-events_long]
root             7     2          0      0 0                   0 I [kworker/0:0H-fsverity_read_queue]
root             8     2          0      0 0                   0 I [kworker/u16:0-loop28]
root             9     2          0      0 0                   0 I [mm_percpu_wq]
root            10     2          0      0 0                   0 I [kworker/u16:1-qc_ufs_qos_swq]
root            11     2          0      0 0                   0 S [rcu_tasks_kthread]
root            12     2          0      0 0                   0 S [rcu_tasks_trace_kthread]
root            13     2          0      0 0                   0 S [ksoftirqd/0]
root            14     2          0      0 0                   0 R [rcu_preempt]
root            15     2          0      0 0                   0 S [rcuog/0]
root            16     2          0      0 0                   0 S [rcuop/0]
root            17     2          0      0 0                   0 S [rcub/0]
root            18     2          0      0 0                   0 S [rcuc/0]
root            19     2          0      0 0                   0 S [rcu_exp_gp_kthread_worker]
root            20     2          0      0 0                   0 S [rcu_exp_par_gp_kthread_worker]
root            21     2          0      0 0                   0 S [migration/0]
root            22     2          0      0 0                   0 S [cpuhp/0]
root            23     2          0      0 0                   0 S [cpuhp/1]
root            24     2          0      0 0                   0 S [migration/1]
root            25     2          0      0 0                   0 S [rcuc/1]
root            26     2          0      0 0                   0 S [ksoftirqd/1]
root            27     2          0      0 0                   0 I [kworker/1:0-events]
root            28     2          0      0 0                   0 I [kworker/1:0H-kblockd]
root            29     2          0      0 0                   0 S [rcuop/1]
root            30     2          0      0 0                   0 S [cpuhp/2]
root            31     2          0      0 0                   0 S [migration/2]
root            32     2          0      0 0                   0 S [rcuc/2]
root            33     2          0      0 0                   0 S [ksoftirqd/2]
root            34     2          0      0 0                   0 I [kworker/2:0-events]
root            35     2          0      0 0                   0 I [kworker/2:0H-events_highpri]
root            36     2          0      0 0                   0 S [rcuop/2]
root            37     2          0      0 0                   0 S [cpuhp/3]
root            38     2          0      0 0                   0 S [migration/3]
root            39     2          0      0 0                   0 S [rcuc/3]
root            40     2          0      0 0                   0 S [ksoftirqd/3]
root            41     2          0      0 0                   0 I [kworker/3:0-events]
root            42     2          0      0 0                   0 I [kworker/3:0H-fsverity_read_queue]
root            43     2          0      0 0                   0 S [rcuop/3]
root            44     2          0      0 0                   0 S [cpuhp/4]
root            45     2          0      0 0                   0 S [migration/4]
root            46     2          0      0 0                   0 S [rcuc/4]
root            47     2          0      0 0                   0 S [ksoftirqd/4]
root            48     2          0      0 0                   0 I [kworker/4:0-events_long]
root            49     2          0      0 0                   0 I [kworker/4:0H-kblockd]
root            50     2          0      0 0                   0 S [rcuog/4]
root            51     2          0      0 0                   0 S [rcuop/4]
root            52     2          0      0 0                   0 S [cpuhp/5]
root            53     2          0      0 0                   0 S [migration/5]
root            54     2          0      0 0                   0 S [rcuc/5]
root            55     2          0      0 0                   0 S [ksoftirqd/5]
root            56     2          0      0 0                   0 I [kworker/5:0-events]
root            57     2          0      0 0                   0 I [kworker/5:0H-kblockd]
root            58     2          0      0 0                   0 S [rcuop/5]
root            59     2          0      0 0                   0 S [cpuhp/6]
root            60     2          0      0 0                   0 S [migration/6]
root            61     2          0      0 0                   0 S [rcuc/6]
root            62     2          0      0 0                   0 S [ksoftirqd/6]
root            63     2          0      0 0                   0 I [kworker/6:0-events_long]
root            64     2          0      0 0                   0 I [kworker/6:0H-fsverity_read_queue]
root            65     2          0      0 0                   0 S [rcuop/6]
root            66     2          0      0 0                   0 S [cpuhp/7]
root            67     2          0      0 0                   0 S [migration/7]
root            68     2          0      0 0                   0 S [rcuc/7]
root            69     2          0      0 0                   0 S [ksoftirqd/7]
root            70     2          0      0 0                   0 I [kworker/7:0-events]
root            71     2          0      0 0                   0 I [kworker/7:0H-fsverity_read_queue]
root            72     2          0      0 0                   0 S [rcuop/7]
root            73     2          0      0 0                   0 I [inet_frag_wq]
root            74     2          0      0 0                   0 I [kworker/0:1-events]
root            75     2          0      0 0                   0 I [kworker/4:1-events_long]
root            76     2          0      0 0                   0 I [kworker/7:1-mm_percpu_wq]
root            77     2          0      0 0                   0 I [kworker/1:1-events]
root            78     2          0      0 0                   0 I [kworker/2:1-mm_percpu_wq]
root            79     2          0      0 0                   0 I [kworker/3:1-events]
root            80     2          0      0 0                   0 I [kworker/5:1-events_long]
root            81     2          0      0 0                   0 I [kworker/6:1-mm_percpu_wq]
root            82     2          0      0 0                   0 S [kauditd]
root            83     2          0      0 0                   0 S [khungtaskd]
root            84     2          0      0 0                   0 S [oom_reaper]
root            85     2          0      0 0                   0 I [writeback]
root            86     2          0      0 0                   0 S [kcompactd0]
root            87     2          0      0 0                   0 I [kblockd]
root            88     2          0      0 0                   0 I [blkcg_punt_bio]
root            89     2          0      0 0                   0 I [edac-poller]
root            90     2          0      0 0                   0 I [devfreq_wq]
root            91     2          0      0 0                   0 S [watchdogd]
root            92     2          0      0 0                   0 I [kworker/7:1H-kblockd]
root            93     2          0      0 0                   0 I [kworker/u16:2-memlat_wq]
root            94     2          0      0 0                   0 S [kswapd0]
root            95     2          0      0 0                   0 I [kworker/u17:0-qmi_msg_handler]
root            96     2          0      0 0                   0 S [erofs_worker/0]
root            97     2          0      0 0                   0 S [erofs_worker/1]
root            98     2          0      0 0                   0 S [erofs_worker/2]
root            99     2          0      0 0                   0 S [erofs_worker/3]
root           100     2          0      0 0                   0 S [erofs_worker/4]
root           101     2          0      0 0                   0 S [erofs_worker/5]
root           102     2          0      0 0                   0 S [erofs_worker/6]
root           103     2          0      0 0                   0 S [erofs_worker/7]
root           104     2          0      0 0                   0 I [kthrotld]
root           105     2          0      0 0                   0 S [dmabuf-deferred-free-worker]
root           106     2          0      0 0                   0 I [uas]
root           107     2          0      0 0                   0 I [dm_bufio_cache]
root           108     2          0      0 0                   0 I [mld]
root           109     2          0      0 0                   0 I [ipv6_addrconf]
root           110     2          0      0 0                   0 S [krfcommd]
root           112     2          0      0 0                   0 S [irq/15-qcom-scm]
root           113     2          0      0 0                   0 S [gh-watchdog]
root           114     2          0      0 0                   0 S [irq/191-c271000.tsens0]
root           115     2          0      0 0                   0 S [irq/192-c271000.tsens0]
root           116     2          0      0 0                   0 S [irq/260-c271000.tsens0]
root           117     2          0      0 0                   0 S [irq/193-c272000.tsens1]
root           118     2          0      0 0                   0 S [irq/194-c272000.tsens1]
root           119     2          0      0 0                   0 I [kworker/4:2-events_long]
root           120     2          0      0 0                   0 I [kworker/7:2-kdmflush]
root           121     2          0      0 0                   0 I [kworker/7:3-kdmflush]
root           122     2          0      0 0                   0 S [irq/151-dcvsh-irq-0]
root           123     2          0      0 0                   0 I [kworker/7:4-kdmflush]
root           124     2          0      0 0                   0 S [irq/152-dcvsh-irq-4]
root           125     2          0      0 0                   0 I [kworker/7:5-kdmflush]
root           126     2          0      0 0                   0 S [irq/153-dcvsh-irq-7]
root           127     2          0      0 0                   0 I [kworker/7:6-kdmflush]
root           128     2          0      0 0                   0 S [halt_drain_rqs]
root           129     2          0      0 0                   0 S [core_ctl]
root           130     2          0      0 0                   0 I [kworker/1:1H-mmc_complete]
root           131     2          0      0 0                   0 I [kworker/2:1H-kblockd]
root           132     2          0      0 0                   0 I [kworker/3:1H-kblockd]
root           133     2          0      0 0                   0 I [kworker/4:1H-fsverity_read_queue]
root           134     2          0      0 0                   0 I [kworker/5:1H-kblockd]
root           135     2          0      0 0                   0 I [kworker/6:1H-fsverity_read_queue]
root           136     2          0      0 0                   0 S [gh_rm_recv_task]
root           137     2          0      0 0                   0 S [qcom,system-pool-refill-thread]
root           138     2          0      0 0                   0 S [bp_camera]
root           139     2          0      0 0                   0 S [bp_prefill_camera]
root           140     2          0      0 0                   0 S [mem_buf_trusted_vm_rcvr]
root           141     2          0      0 0                   0 I [bwmon_wq]
root           142     2          0      0 0                   0 S [irq/163-240b6400.qcom,bwmon-llcc]
root           143     2          0      0 0                   0 S [irq/164-24091000.qcom,bwmon-ddr]
root           144     2          0      0 0                   0 I [kworker/u16:3-kgsl-lockless-work]
root           145     2          0      0 0                   0 I [kworker/6:2-events_long]
root           146     2          0      0 0                   0 I [kworker/6:3-events_long]
root           147     2          0      0 0                   0 I [kworker/6:4-events_long]
root           148     2          0      0 0                   0 I [kworker/6:5-events]
root           149     2          0      0 0                   0 I [kworker/6:6-events_long]
root           150     2          0      0 0                   0 S [qrtr_ns]
root           151     2          0      0 0                   0 S [irq/287-qcom,qmp-tme]
root           152     2          0      0 0                   0 S [irq/42-arm-smmu global fault]
root           153     2          0      0 0                   0 S [irq/43-arm-smmu-context-fault]
root           154     2          0      0 0                   0 S [scsi_eh_0]
root           155     2          0      0 0                   0 I [scsi_tmf_0]
root           156     2          0      0 0                   0 I [kworker/4:3-events_long]
root           157     2          0      0 0                   0 I [kworker/4:4-events]
root           158     2          0      0 0                   0 I [kworker/4:5-events_long]
root           159     2          0      0 0                   0 I [kworker/4:6-events_long]
root           160     2          0      0 0                   0 S [irq/44-arm-smmu-context-fault]
root           161     2          0      0 0                   0 I [kworker/4:7-events_long]
root           162     2          0      0 0                   0 I [kworker/4:8-events_long]
root           163     2          0      0 0                   0 I [qc_ufs_qos_swq]
root           164     2          0      0 0                   0 I [ufs_eh_wq_0]
root           165     2          0      0 0                   0 I [ufs_clk_gating_]
root           166     2          0      0 0                   0 S [irq/148-8804000.sdhci]
root           167     2          0      0 0                   0 I [sdhci_msm_gener]
root           168     2          0      0 0                   0 I [sdhci]
root           169     2          0      0 0                   0 S [irq/147-mmc1]
root           170     2          0      0 0                   0 I [kworker/u16:4-memlat_wq]
root           171     2          0      0 0                   0 S [irq/45-arm-smmu-context-fault]
root           172     2          0      0 0                   0 I [kworker/5:2-events]
root           173     2          0      0 0                   0 S [irq/47-arm-smmu-context-fault]
root           174     2          0      0 0                   0 I [kworker/6:7-events]
root           175     2          0      0 0                   0 I [kworker/6:8-events]
root           176     2          0      0 0                   0 I [kworker/6:9-events]
root           177     2          0      0 0                   0 I [kworker/6:10-events_long]
root           178     2          0      0 0                   0 I [kworker/5:3-mm_percpu_wq]
root           179     2          0      0 0                   0 I [kworker/5:4-events]
root           180     2          0      0 0                   0 I [kworker/5:5-events]
root           181     2          0      0 0                   0 I [kworker/5:6-events_long]
root           182     2          0      0 0                   0 I [kworker/5:7-events_long]
root           183     2          0      0 0                   0 I [kworker/5:8-events]
root           184     2          0      0 0                   0 I [kworker/5:9-events]
root           185     2          0      0 0                   0 I [kworker/5:10-events]
root           186     2          0      0 0                   0 S [irq/297-8804000.sdhci cd]
root           187     2          0      0 0                   0 I [kworker/u16:5-kgsl-lockless-work]
root           188     2          0      0 0                   0 I [kworker/u16:6-events_unbound]
root           189     2          0      0 0                   0 S [irq/269-bcl-lvl0]
root           190     2          0      0 0                   0 S [irq/270-bcl-lvl1]
root           191     2          0      0 0                   0 S [irq/271-bcl-lvl2]
root           192     2          0      0 0                   0 S [irq/282-bcl-lvl0]
root           193     2          0      0 0                   0 S [irq/283-bcl-lvl1]
root           194     2          0      0 0                   0 S [irq/284-bcl-lvl2]
root           195     2          0      0 0                   0 S [phoenix_hlos_watchdog]
root           197     2          0      0 0                   0 I [freqqos monitor]
root           198     2          0      0 0                   0 S [pmicwd]
root           199     2          0      0 0                   0 I [nvme-wq]
root           200     2          0      0 0                   0 I [nvme-reset-wq]
